GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project-CS350,odu.edu.cs.cs350.pne,ArffParser,9,120,0,6,4,28,0,8,0,5
Project-CS350,odu.edu.cs.cs350.pne,LearningMachine,38,299,2,12,11,65,2,17,0,12
Project-CS350,odu.edu.cs.cs350.pne,WordInfo,0,12,0,0,0,4,0,1,0,1
Project-CS350,odu.edu.cs.cs350.pne,TrainParser,21,111,1,5,10,27,1,7,0,5
Project-CS350,odu.edu.cs.cs350.pne,InitialTrainer,19,511,2,24,9,73,2,21,0,10
Project-CS350,odu.edu.cs.cs350.pne,VocabCollection,12,195,0,12,6,47,0,17,0,11
Project-CS350,odu.edu.cs.cs350.pne,TrainDocument,0,153,0,14,0,38,0,12,0,5
Project-CS350,odu.edu.cs.cs350.pne,ACMClassifier,203,0,28,0,62,0,23,0,4,0
Project-CS350,odu.edu.cs.cs350.pne,ClassifyDocument,0,134,0,12,0,33,0,10,0,4
Project-CS350,odu.edu.cs.cs350.pne,ClassifyParser,21,116,2,6,10,29,2,6,0,4
Project-CS350,odu.edu.cs.cs350.pne,Document,4,85,0,2,2,20,1,9,1,8
Project-CS350,odu.edu.cs.cs350.pne,ArffDocument,0,99,0,6,0,21,0,5,0,2
Project-CS350,odu.edu.cs.cs350.pne,WordFrequency,0,9,0,0,0,3,0,1,0,1
Project-CS350,odu.edu.cs.cs350.pne,ACMTrainer,43,196,10,12,16,38,11,5,1,4
Project-CS350,odu.edu.cs.cs350.pne,ArffGenerator,8,197,0,8,3,38,0,10,0,6
Project-CS350,odu.edu.cs.cs350.pne,StopList,6,56,0,2,3,18,0,6,0,5
